IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
8.218.22.210	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	78	1.76
47.242.176.237	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	40	1.76
8.217.149.28	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	80	1.75
8.222.180.86	80	80	FALSE	SIN	Asia Pacific	Singapore	5	1.75
47.245.58.250	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	121	1.74
8.218.243.95	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	62	1.74
8.218.2.181	8080	8080	FALSE	HKG	Asia Pacific	Hong Kong	36	1.73
8.210.9.129	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	70	1.72
8.219.245.187	2086	2086	FALSE	SIN	Asia Pacific	Singapore	42	1.72
8.217.221.165	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	78	1.72
47.245.28.255	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	99	1.71
47.236.7.13	2095	2095	FALSE	SIN	Asia Pacific	Singapore	15	1.71
8.222.226.15	2053	2053	TRUE	SIN	Asia Pacific	Singapore	77	1.69
47.76.49.246	8880	8880	FALSE	HKG	Asia Pacific	Hong Kong	52	1.69
8.209.214.222	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	96	1.68
47.74.36.154	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	78	1.68
47.242.171.94	8880	8880	FALSE	HKG	Asia Pacific	Hong Kong	41	1.68
8.209.200.73	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	88	1.67
8.209.214.157	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	87	1.67
47.242.171.94	8080	8080	FALSE	HKG	Asia Pacific	Hong Kong	46	1.67
8.210.245.224	443	443	TRUE	HKG	Asia Pacific	Hong Kong	84	1.66
8.218.18.132	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	79	1.64
8.218.3.12	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	42	1.64
47.243.173.187	8080	8080	FALSE	HKG	Asia Pacific	Hong Kong	89	1.64
47.236.144.156	8880	8880	FALSE	SIN	Asia Pacific	Singapore	21	1.63
47.243.161.235	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	67	1.63
8.217.207.60	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	39	1.62
8.217.239.116	2082	2082	FALSE	HKG	Asia Pacific	Hong Kong	49	1.62
8.222.236.229	2096	2096	TRUE	SIN	Asia Pacific	Singapore	54	1.61
8.210.39.96	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	42	1.6
8.218.2.181	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	38	1.59
8.217.207.60	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	93	1.59
47.245.53.101	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	224	1.58
8.217.167.88	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	69	1.58
8.222.214.231	8880	8880	FALSE	SIN	Asia Pacific	Singapore	26	1.57
47.236.150.109	2086	2086	FALSE	SIN	Asia Pacific	Singapore	52	1.56
8.218.52.115	2082	2082	FALSE	HKG	Asia Pacific	Hong Kong	83	1.55
8.219.213.112	8443	8443	TRUE	SIN	Asia Pacific	Singapore	150	1.54
8.210.250.120	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	215	1.53
8.218.11.90	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	131	1.53
47.242.59.216	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	58	1.53
8.218.3.12	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	40	1.52
8.218.48.92	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	46	1.52
8.218.8.142	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	70	1.51
8.217.164.10	2082	2082	FALSE	HKG	Asia Pacific	Hong Kong	47	1.5
8.218.8.142	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	78	1.5
